SUBURB, id, month_year, total_offences
NORTH HAVEN,1002,Jul-19,19
EXETER,1015,Jul-19,8
SEMAPHORE,1027,Jul-19,25
SEMAPHORE PARK,1039,Jul-19,31
DUDLEY PARK,105,Jul-19,7
SEMAPHORE SOUTH,1051,Jul-19,1
WEST LAKES SHORE,1063,Jul-19,14
WEST LAKES,1075,Jul-19,57
GRANGE,1087,Jul-19,39
HENLEY BEACH,1099,Jul-19,29
HENLEY BEACH SOUTH,1111,Jul-19,6
FINDON,1133,Jul-19,53
SEATON,1148,Jul-19,45
RENOWN PARK,116,Jul-19,13
FULHAM,1160,Jul-19,15
FULHAM GARDENS,1172,Jul-19,19
WEST BEACH,1185,Jul-19,20
FLINDERS PARK,1197,Jul-19,20
BROMPTON,1209,Jul-19,54
HINDMARSH,1221,Jul-19,25
NORTH PLYMPTON,1233,Jul-19,20
CAMDEN PARK,1245,Jul-19,27
PLYMPTON,1257,Jul-19,68
PLYMPTON PARK,1269,Jul-19,25
RIDLEYTON,128,Jul-19,25
SOUTH PLYMPTON,1281,Jul-19,23
CLARENCE GARDENS,1293,Jul-19,4
MALVERN,1305,Jul-19,3
UNLEY,1317,Jul-19,21
UNLEY PARK,1328,Jul-19,2
CLAPHAM,1339,Jul-19,3
HAWTHORN,1350,Jul-19,13
KINGSWOOD,1363,Jul-19,5
GLENELG SOUTH,1375,Jul-19,6
OAKLANDS PARK,1386,Jul-19,107
COLONEL LIGHT GARDENS,1398,Jul-19,4
WEST CROYDON,140,Jul-19,19
CUMBERLAND PARK,1410,Jul-19,8
DAW PARK,1422,Jul-19,3
PANORAMA,1434,Jul-19,1
WESTBOURNE PARK,1446,Jul-19,12
WARRADALE,1458,Jul-19,16
DARLINGTON,1470,Jul-19,11
SEACOMBE GARDENS,1482,Jul-19,29
SEACOMBE HEIGHTS,1494,Jul-19,5
STURT,1506,Jul-19,14
BRIGHTON,1518,Jul-19,16
ALLENBY GARDENS,152,Jul-19,5
DOVER GARDENS,1530,Jul-19,10
HOVE,1542,Jul-19,9
NORTH BRIGHTON,1554,Jul-19,4
KESWICK TERMINAL,1565,Jul-19,5
GLANDORE,1577,Jul-19,19
KURRALTA PARK,1589,Jul-19,29
MITCHELL PARK,1612,Jul-19,45
MORPHETTVILLE,1625,Jul-19,8
PARK HOLME,1637,Jul-19,21
BEVERLEY,164,Jul-19,13
GLENGOWRIE,1649,Jul-19,14
SOMERTON PARK,1661,Jul-19,12
GLENELG,1673,Jul-19,28
GLENELG EAST,1685,Jul-19,28
GLENELG NORTH,1697,Jul-19,21
SOUTH BRIGHTON,1710,Jul-19,5
MARINO,1730,Jul-19,7
SEACLIFF,1742,Jul-19,4
SEACLIFF PARK,1754,Jul-19,8
KILKENNY,176,Jul-19,36
SEAVIEW DOWNS,1766,Jul-19,21
BELLEVUE HEIGHTS,1778,Jul-19,3
EDEN HILLS,1789,Jul-19,4
BLACKWOOD,1801,Jul-19,16
CRAIGBURN FARM,1823,Jul-19,2
HAWTHORNDENE,1832,Jul-19,1
BELAIR,1843,Jul-19,6
GLENALTA,1855,Jul-19,1
HYDE PARK,1866,Jul-19,3
NEWTON,1878,Jul-19,27
OTTOWAY,188,Jul-19,28
DERNANCOURT,1890,Jul-19,16
ADELAIDE,19,Jul-19,604
PARADISE,1902,Jul-19,19
ATHELSTONE,1914,Jul-19,14
LOWER MITCHAM,1926,Jul-19,2
LYNTON,1933,Jul-19,1
ROSE PARK,1942,Jul-19,3
KENSINGTON,1962,Jul-19,12
KENSINGTON GARDENS,1973,Jul-19,6
KENSINGTON PARK,1985,Jul-19,13
LEABROOK,1997,Jul-19,3
PENNINGTON,200,Jul-19,26
MARRYATVILLE,2008,Jul-19,6
ST MORRIS,2020,Jul-19,3
TRINITY GARDENS,2031,Jul-19,2
COLLEGE PARK,2041,Jul-19,4
JOSLIN,2051,Jul-19,6
MARDEN,2061,Jul-19,23
PAYNEHAM,2073,Jul-19,2
PAYNEHAM SOUTH,2085,Jul-19,3
ROYSTON PARK,2096,Jul-19,5
MAGILL,2114,Jul-19,21
ROSEWATER,212,Jul-19,33
EVANDALE,2136,Jul-19,4
HACKNEY,2148,Jul-19,7
MAYLANDS,2160,Jul-19,8
ST PETERS,2172,Jul-19,16
STEPNEY,2184,Jul-19,10
FELIXSTOW,2196,Jul-19,6
FIRLE,2208,Jul-19,5
GLYNDE,2220,Jul-19,6
MITCHAM,2232,Jul-19,3
WINGFIELD,224,Jul-19,33
NETHERBY,2243,Jul-19,9
TORRENS PARK,2262,Jul-19,8
EASTWOOD,2274,Jul-19,6
FREWVILLE,2287,Jul-19,9
FULLARTON,2299,Jul-19,12
HIGHGATE,2310,Jul-19,5
PARKSIDE,2321,Jul-19,17
GLEN OSMOND,2333,Jul-19,10
GLENUNGA,2345,Jul-19,7
MYRTLE BANK,2359,Jul-19,10
ALBERT PARK,237,Jul-19,4
DULWICH,2387,Jul-19,2
GLENSIDE,2399,Jul-19,17
LINDEN PARK,2411,Jul-19,7
TOORAK GARDENS,2423,Jul-19,4
TUSMORE,2434,Jul-19,6
BURNSIDE,2454,Jul-19,5
ERINDALE,2463,Jul-19,6
HAZELWOOD PARK,2475,Jul-19,3
STONYFELL,2485,Jul-19,2
ALBERTON,249,Jul-19,13
WATTLE PARK,2494,Jul-19,1
BEULAH PARK,2505,Jul-19,1
KENT TOWN,2517,Jul-19,21
NORWOOD,2529,Jul-19,30
BEDFORD PARK,2541,Jul-19,15
CLOVELLY PARK,2554,Jul-19,6
PASADENA,2566,Jul-19,10
ST MARYS,2578,Jul-19,18
TONSLEY,2590,Jul-19,2
ASCOT PARK,2601,Jul-19,18
CHELTENHAM,261,Jul-19,13
MARION,2613,Jul-19,23
PARA VISTA,2625,Jul-19,18
VALLEY VIEW,2637,Jul-19,36
CAVAN,2649,Jul-19,18
DRY CREEK,2661,Jul-19,18
GEPPS CROSS,2673,Jul-19,24
MAWSON LAKES,2685,Jul-19,115
COLLINSWOOD,2698,Jul-19,6
GILBERTON,2710,Jul-19,10
MEDINDIE,2722,Jul-19,6
HENDON,273,Jul-19,6
MEDINDIE GARDENS,2732,Jul-19,1
NORTHFIELD,2741,Jul-19,13
NORTHGATE,2753,Jul-19,5
GILLES PLAINS,2768,Jul-19,49
GREENACRES,2780,Jul-19,17
HAMPSTEAD GARDENS,2792,Jul-19,7
HILLCREST,2804,Jul-19,20
MANNINGHAM,2816,Jul-19,5
OAKDEN,2828,Jul-19,16
QUEENSTOWN,284,Jul-19,8
KLEMZIG,2840,Jul-19,29
SKYE,2852,Jul-19,1
HECTORVILLE,2879,Jul-19,19
ROSTREVOR,2891,Jul-19,11
TRANMERE,2903,Jul-19,10
CAMPBELLTOWN,2915,Jul-19,41
NAILSWORTH,2927,Jul-19,16
SEFTON PARK,2939,Jul-19,24
BLAIR ATHOL,2951,Jul-19,81
ROYAL PARK,296,Jul-19,26
KILBURN,2963,Jul-19,81
CLEARVIEW,2976,Jul-19,28
ENFIELD,2988,Jul-19,37
LIGHTSVIEW,3000,Jul-19,16
WINDSOR GARDENS,3012,Jul-19,24
HOLDEN HILL,3024,Jul-19,28
HIGHBURY,3036,Jul-19,18
HOPE VALLEY,3048,Jul-19,24
BANKSIA PARK,3060,Jul-19,9
TEA TREE GULLY,3072,Jul-19,9
BIRKENHEAD,308,Jul-19,15
VISTA,3083,Jul-19,1
MODBURY,3093,Jul-19,81
NORTH ADELAIDE,31,Jul-19,68
MODBURY HEIGHTS,3105,Jul-19,12
MODBURY NORTH,3117,Jul-19,20
SMITHFIELD,3131,Jul-19,71
SMITHFIELD PLAINS,3143,Jul-19,34
YATTALUNGA,3158,Jul-19,2
KUDLA,3163,Jul-19,4
MUNNO PARA,3174,Jul-19,59
MUNNO PARA DOWNS,3185,Jul-19,3
SALISBURY HEIGHTS,3196,Jul-19,9
ETHELTON,320,Jul-19,16
SALISBURY PARK,3208,Jul-19,13
SALISBURY PLAIN,3220,Jul-19,8
BOLIVAR,3232,Jul-19,36
ELIZABETH VALE,3244,Jul-19,37
HILLBANK,3256,Jul-19,30
DAVOREN PARK,3268,Jul-19,80
EDINBURGH NORTH,3279,Jul-19,2
ELIZABETH DOWNS,3291,Jul-19,46
ELIZABETH NORTH,3303,Jul-19,42
ELIZABETH PARK,3315,Jul-19,51
GLANVILLE,332,Jul-19,8
BURTON,3327,Jul-19,31
DIREK,3339,Jul-19,8
GLOBE DERBY PARK,3350,Jul-19,1
WATERLOO CORNER,3368,Jul-19,8
EDINBURGH,3379,Jul-19,6
ELIZABETH,3391,Jul-19,129
ELIZABETH EAST,3403,Jul-19,43
ELIZABETH GROVE,3415,Jul-19,35
ELIZABETH SOUTH,3427,Jul-19,59
POORAKA,3439,Jul-19,64
ANGLE PARK,344,Jul-19,20
GULFVIEW HEIGHTS,3451,Jul-19,1
PARA HILLS,3463,Jul-19,43
PARA HILLS WEST,3475,Jul-19,40
REDWOOD PARK,3487,Jul-19,4
RIDGEHAVEN,3499,Jul-19,11
ST AGNES,3511,Jul-19,12
INGLE FARM,3523,Jul-19,77
WALKLEY HEIGHTS,3535,Jul-19,8
PARAFIELD,3547,Jul-19,26
SALISBURY SOUTH,3559,Jul-19,12
FERRYDEN PARK,356,Jul-19,24
GREEN FIELDS,3570,Jul-19,7
PARAFIELD GARDENS,3580,Jul-19,83
PARALOWIE,3592,Jul-19,82
SALISBURY,3605,Jul-19,120
SALISBURY DOWNS,3617,Jul-19,80
SALISBURY NORTH,3629,Jul-19,74
BRAHMA LODGE,3641,Jul-19,14
SALISBURY EAST,3653,Jul-19,31
VALE PARK,3665,Jul-19,7
WALKERVILLE,3677,Jul-19,16
REGENCY PARK,368,Jul-19,7
FITZROY,3688,Jul-19,5
OVINGHAM,3698,Jul-19,7
PROSPECT,3711,Jul-19,91
THORNGATE,3723,Jul-19,9
BROADVIEW,3735,Jul-19,26
MONTACUTE,3747,Jul-19,2
WILLASTON,3761,Jul-19,11
VIRGINIA,3781,Jul-19,12
GAWLER EAST,3794,Jul-19,12
ST CLAIR,380,Jul-19,15
GAWLER SOUTH,3810,Jul-19,7
GAWLER WEST,3822,Jul-19,8
EYRE,3833,Jul-19,8
PENFIELD,3850,Jul-19,3
MUNNO PARA WEST,3865,Jul-19,33
EVANSTON,3877,Jul-19,18
EVANSTON GARDENS,3889,Jul-19,15
EVANSTON PARK,3901,Jul-19,14
WOODVILLE,392,Jul-19,24
ANGLE VALE,3928,Jul-19,31
CONCORDIA,3940,Jul-19,2
GAWLER,3946,Jul-19,28
GAWLER BELT,3958,Jul-19,4
ANDREWS FARM,3970,Jul-19,37
BLAKEVIEW,3982,Jul-19,44
CRAIGMORE,3994,Jul-19,38
GOULD CREEK,4005,Jul-19,2
ONE TREE HILL,4020,Jul-19,5
WARD BELT,4036,Jul-19,1
WOODVILLE PARK,404,Jul-19,15
GOLDEN GROVE,4057,Jul-19,50
GREENWITH,4069,Jul-19,10
GREENWITH,4079,Jul-19,3
FAIRVIEW PARK,4085,Jul-19,3
SURREY DOWNS,4097,Jul-19,7
YATALA VALE,4108,Jul-19,4
WYNN VALE,4115,Jul-19,10
SHEIDOW PARK,4142,Jul-19,19
TROTT PARK,4154,Jul-19,4
WOODVILLE SOUTH,417,Jul-19,24
BASKET RANGE,4170,Jul-19,2
BRIDGEWATER,4194,Jul-19,4
UPPER STURT,4204,Jul-19,1
MACCLESFIELD,4216,Jul-19,1
FOREST RANGE,4237,Jul-19,1
CRAFERS,4269,Jul-19,2
CRAFERS WEST,4279,Jul-19,1
STIRLING,4289,Jul-19,8
WOODVILLE WEST,429,Jul-19,38
ECHUNGA,4303,Jul-19,1
HEWETT,4313,Jul-19,1
KANGAROO FLAT,4326,Jul-19,3
KANGARILLA,4332,Jul-19,2
HALLETT COVE,4341,Jul-19,27
O'HALLORAN HILL,4353,Jul-19,5
ALDINGA,4371,Jul-19,14
ALDINGA BEACH,4383,Jul-19,51
PORT WILLUNGA,4395,Jul-19,7
PORT NOARLUNGA,4407,Jul-19,9
ATHOL PARK,441,Jul-19,13
CHANDLERS HILL,4414,Jul-19,2
FLAGSTAFF HILL,4423,Jul-19,11
HAPPY VALLEY,4435,Jul-19,21
LONSDALE,4447,Jul-19,14
OLD REYNELLA,4459,Jul-19,28
REYNELLA,4471,Jul-19,12
REYNELLA EAST,4483,Jul-19,1
PORT NOARLUNGA SOUTH,4495,Jul-19,8
BOWDEN,45,Jul-19,24
NOARLUNGA CENTRE,4507,Jul-19,83
NOARLUNGA DOWNS,4519,Jul-19,33
MANSFIELD PARK,453,Jul-19,46
OLD NOARLUNGA,4534,Jul-19,14
MOANA,4546,Jul-19,13
SEAFORD,4558,Jul-19,53
ABERFOYLE PARK,4570,Jul-19,26
COROMANDEL EAST,4592,Jul-19,1
CHRISTIES BEACH,4599,Jul-19,70
O'SULLIVAN BEACH,4611,Jul-19,13
SEAFORD HEIGHTS,4623,Jul-19,3
SEAFORD MEADOWS,4635,Jul-19,13
SEAFORD RISE,4647,Jul-19,21
WOODVILLE GARDENS,465,Jul-19,25
MASLIN BEACH,4659,Jul-19,1
MCLAREN VALE,4682,Jul-19,9
TATACHILLA,4694,Jul-19,4
DINGABLEDINGA,4699,Jul-19,1
WHITES VALLEY,4709,Jul-19,1
PORT ELLIOT,4730,Jul-19,6
MIDDLETON,4742,Jul-19,5
SELLICKS BEACH,4754,Jul-19,7
NORMANVILLE,4765,Jul-19,12
WOODVILLE NORTH,477,Jul-19,21
RAPID BAY,4773,Jul-19,1
SECOND VALLEY,4779,Jul-19,1
MOUNT COMPASS,4793,Jul-19,2
ENCOUNTER BAY,4805,Jul-19,10
HAYBOROUGH,4817,Jul-19,8
NANGKITA,4829,Jul-19,1
SELLICKS HILL,4836,Jul-19,5
MEADOWS,4850,Jul-19,3
MYPONGA,4868,Jul-19,2
MYPONGA BEACH,4876,Jul-19,1
GILLMAN,489,Jul-19,3
YANKALILLA,4892,Jul-19,3
CARRICKALINGA,4905,Jul-19,3
DELAMERE,4911,Jul-19,1
MORPHETT VALE,4919,Jul-19,143
WOODCROFT,4931,Jul-19,34
HACKHAM,4943,Jul-19,19
HACKHAM WEST,4955,Jul-19,20
HUNTFIELD HEIGHTS,4967,Jul-19,29
ONKAPARINGA HILLS,4977,Jul-19,5
CHRISTIE DOWNS,4989,Jul-19,55
CURRENCY CREEK,5013,Jul-19,1
GOOLWA,5021,Jul-19,11
AMATA,503,Jul-19,3
GOOLWA BEACH,5033,Jul-19,9
GOOLWA NORTH,5045,Jul-19,1
GOOLWA SOUTH,5055,Jul-19,8
MCCRACKEN,5076,Jul-19,4
VICTOR HARBOR,5092,Jul-19,15
PENNESHAW,5108,Jul-19,1
BROWNLOW KI,5120,Jul-19,2
SANDERSTON,5125,Jul-19,1
ANGAS VALLEY,5128,Jul-19,2
CAURNAMONT,5137,Jul-19,1
CUDLEE CREEK,5173,Jul-19,1
FORRESTON,5179,Jul-19,3
IWANTJA,520,Jul-19,2
HAINES,5211,Jul-19,1
KARATTA,5213,Jul-19,1
MACGILLIVRAY,5218,Jul-19,1
KINGSCOTE,5224,Jul-19,2
STOKES BAY,5243,Jul-19,1
HINDMARSH ISLAND,5254,Jul-19,6
IWANTJA,526,Jul-19,3
MOBILONG,5272,Jul-19,1
HAHNDORF,5279,Jul-19,11
MANNUM,5299,Jul-19,12
PONDE,5312,Jul-19,1
LITTLEHAMPTON,5325,Jul-19,7
TOTNESS,5337,Jul-19,5
MOUNT BARKER,5351,Jul-19,74
TUNGKILLO,5372,Jul-19,1
LOBETHAL,5388,Jul-19,2
BALHANNAH,5400,Jul-19,3
MOUNT TORRENS,5418,Jul-19,3
WOODSIDE,5428,Jul-19,1
BRUKUNGA,5442,Jul-19,2
KANMANTOO,5450,Jul-19,1
NAIRNE,5458,Jul-19,5
BURDETT,5475,Jul-19,3
FINNISS,5488,Jul-19,1
STRATHALBYN,5503,Jul-19,22
MURRAY BRIDGE,5526,Jul-19,104
MIMILI,553,Jul-19,7
MURRAY BRIDGE EAST,5538,Jul-19,5
MURRAY BRIDGE SOUTH,5548,Jul-19,1
NORTHERN HEIGHTS,5554,Jul-19,1
SWANPORT,5569,Jul-19,1
TOORA,5571,Jul-19,2
WOODS POINT,5577,Jul-19,1
CALLINGTON,5582,Jul-19,1
MONARTO SOUTH,5594,Jul-19,1
MYPOLONGA,5600,Jul-19,1
ROCKY GULLY,5614,Jul-19,2
WALKER FLAT,5635,Jul-19,2
YOUNGHUSBAND,5643,Jul-19,2
KONGAL,5664,Jul-19,1
NARRUNG,5671,Jul-19,1
ELWOMPLE,5684,Jul-19,1
KEITH,5691,Jul-19,2
WEST HINDMARSH,57,Jul-19,12
SHERWOOD,5703,Jul-19,1
WILLALOOKA,5707,Jul-19,6
WIRREGA,5710,Jul-19,2
JERVOIS,5717,Jul-19,2
WILLYAROO,5722,Jul-19,3
MILANG,5736,Jul-19,4
PIPALYATJARA,574,Jul-19,3
MENINGIE,5760,Jul-19,6
COONALPYN,5773,Jul-19,2
TINTINARA,5785,Jul-19,2
BORDERTOWN,5797,Jul-19,7
FURNER,5804,Jul-19,1
GERMAN FLAT,5805,Jul-19,1
MAGAREY,5809,Jul-19,1
MILLICENT,5815,Jul-19,26
KINGSTON SE,5836,Jul-19,2
ROSETOWN,5843,Jul-19,1
PUKATJA,586,Jul-19,6
ROBE,5861,Jul-19,4
NANGWARRY,5879,Jul-19,3
PENOLA,5890,Jul-19,5
NARACOORTE,5925,Jul-19,28
TAILEM BEND,5959,Jul-19,21
UMUWA,596,Jul-19,1
BEACHPORT,5976,Jul-19,2
WELLAND,6,Jul-19,15
KINGSTON ON MURRAY,6033,Jul-19,4
ROSEWORTHY,6050,Jul-19,2
TEMPLERS,6061,Jul-19,1
FREELING,6067,Jul-19,4
EDWARDSTOWN,609,Jul-19,52
MOUNT GAMBIER,6090,Jul-19,84
LOXTON,6116,Jul-19,14
LOXTON NORTH,6125,Jul-19,3
ORROROO,6138,Jul-19,2
CARPENTER ROCKS,6145,Jul-19,2
COMPTON,6151,Jul-19,2
GERMAN CREEK,6163,Jul-19,1
GLENBURNIE,6167,Jul-19,1
PYAP,6171,Jul-19,1
PARINGA,6183,Jul-19,2
HAMILTON,6192,Jul-19,2
KAPUNDA,6199,Jul-19,9
MELROSE PARK,621,Jul-19,7
SUTTONTOWN,6216,Jul-19,2
OLD CALPERUM,6268,Jul-19,3
GLENCOE,6284,Jul-19,2
NOVAR GARDENS,633,Jul-19,10
PEAKE,6331,Jul-19,1
LAMEROO,6340,Jul-19,1
CALPERUM STATION,6355,Jul-19,1
BROWNLOW,6359,Jul-19,1
QUORN,6365,Jul-19,6
MONASH,6381,Jul-19,3
BERRI,6391,Jul-19,25
GERARD,6400,Jul-19,1
WASLEYS,6447,Jul-19,2
PORT MACDONNELL,6462,Jul-19,4
RENMARK,6472,Jul-19,25
RENMARK SOUTH,6488,Jul-19,1
RENMARK WEST,6498,Jul-19,1
PORT ADELAIDE,656,Jul-19,69
MAUDE,6581,Jul-19,1
CADELL,6587,Jul-19,2
GOLDEN HEIGHTS,6594,Jul-19,1
RAMCO,6599,Jul-19,1
RAMCO HEIGHTS,6601,Jul-19,1
STEINFELD,6606,Jul-19,1
MORGAN,6638,Jul-19,2
TANUNDA,6657,Jul-19,5
LARGS BAY,668,Jul-19,37
BALAKLAVA,6729,Jul-19,6
BOWILLIA,6738,Jul-19,3
BLACK SPRINGS,6741,Jul-19,2
BURRA,6761,Jul-19,4
WAIKERIE,6799,Jul-19,8
LARGS NORTH,680,Jul-19,16
NACKARA,6816,Jul-19,1
CLARE,6831,Jul-19,6
BLANCHETOWN,6857,Jul-19,2
MAGGEA,6880,Jul-19,1
ANGASTON,6899,Jul-19,6
CROYDON,69,Jul-19,5
LIGHT PASS,6917,Jul-19,2
PETERHEAD,692,Jul-19,17
NURIOOTPA,6928,Jul-19,18
STOCKWELL,6939,Jul-19,1
PARNAROO,6954,Jul-19,1
PETERBOROUGH,6960,Jul-19,6
WILLIAMSTOWN,6997,Jul-19,2
BLACK HILL,7006,Jul-19,1
CAMBRAI,7013,Jul-19,2
MOCULTA,7020,Jul-19,2
CUMMINS,7035,Jul-19,1
OSBORNE,704,Jul-19,12
PORT AUGUSTA,7053,Jul-19,89
PORT PIRIE,7070,Jul-19,12
PORT PIRIE SOUTH,7082,Jul-19,13
PORT PIRIE WEST,7094,Jul-19,18
RISDON PARK,7106,Jul-19,21
RISDON PARK SOUTH,7118,Jul-19,5
COWELL,7128,Jul-19,3
TALIA,7139,Jul-19,1
KADINA,7155,Jul-19,26
TAPEROO,716,Jul-19,40
MATTA FLAT,7163,Jul-19,3
NEW TOWN,7170,Jul-19,6
WALLAROO MINES,7182,Jul-19,1
LAURA,7225,Jul-19,1
NORTH BEACH,7236,Jul-19,2
WALLAROO,7245,Jul-19,31
PORT LINCOLN,7272,Jul-19,59
KIDMAN PARK,728,Jul-19,13
WARBURTO,7317,Jul-19,2
DUCK PONDS,7328,Jul-19,1
HORNSDALE,7349,Jul-19,1
JAMESTOWN,7354,Jul-19,1
PORT HUGHES,7369,Jul-19,1
MILE END,740,Jul-19,37
STREAKY BAY,7400,Jul-19,12
CEDUNA,7410,Jul-19,23
WILMINGTON,7425,Jul-19,2
PIEDNIPPIE,7433,Jul-19,1
ARDROSSAN,7440,Jul-19,1
MOONTA,7463,Jul-19,6
MOONTA BAY,7475,Jul-19,6
NORTH MOONTA,7509,Jul-19,2
MILE END SOUTH,752,Jul-19,13
NORTH SHIELDS,7538,Jul-19,1
DUBLIN,7574,Jul-19,2
LEWISTON,7585,Jul-19,9
MIDDLE BEACH,7604,Jul-19,4
PORT GAWLER,7608,Jul-19,2
TWO WELLS,7615,Jul-19,13
BUNDALEER GARDENS,7626,Jul-19,1
TARPEENA,7632,Jul-19,3
THEBARTON,764,Jul-19,21
MOUNT MCINTYRE,7657,Jul-19,1
PORT AUGUSTA WEST,7664,Jul-19,49
PORT PATERSON,7675,Jul-19,1
CRYSTAL BROOK,7688,Jul-19,2
SOLOMONTOWN,7700,Jul-19,7
WHYALLA,7713,Jul-19,23
WHYALLA PLAYFORD,7725,Jul-19,28
MULLAQUANA,7742,Jul-19,6
WHYALLA NORRIE,7752,Jul-19,92
TORRENSVILLE,776,Jul-19,34
WHYALLA STUART,7764,Jul-19,75
SNOWTOWN,7774,Jul-19,2
HARDWICKE BAY,7785,Jul-19,4
THEVENARD,7811,Jul-19,8
YALATA,7827,Jul-19,1
CLEVE,7853,Jul-19,1
TELOWIE,7877,Jul-19,1
BROOKLYN PARK,788,Jul-19,21
THOMPSON BEACH,7888,Jul-19,1
KIMBA,7906,Jul-19,1
WARNERTOWN,7925,Jul-19,1
PORT WAKEFIELD,7945,Jul-19,3
BALGOWAN,7960,Jul-19,1
MAITLAND,7966,Jul-19,7
POINT PEARCE,7976,Jul-19,4
PORT VICTORIA,7984,Jul-19,1
STIRLING NORTH,7995,Jul-19,6
CLARENCE PARK,800,Jul-19,16
POINT LOWLY,8025,Jul-19,1
WHYALLA JENKINS,8046,Jul-19,3
IRON KNOB,8059,Jul-19,2
PORT BROUGHTON,8069,Jul-19,3
PORT VINCENT,8087,Jul-19,1
STANSBURY,8096,Jul-19,2
CROYDON PARK,81,Jul-19,25
GOODWOOD,812,Jul-19,17
DAVENPORT,8125,Jul-19,3
MIRANDA,8132,Jul-19,1
MINNIPA,8147,Jul-19,1
EVERARD CENTRAL,8155,Jul-19,1
MOUNT TEMPLETON,8159,Jul-19,1
BLYTH,8166,Jul-19,1
KORUNYE,8182,Jul-19,1
MALLALA,8192,Jul-19,1
REEVES PLAINS,8206,Jul-19,3
RUDALL,8219,Jul-19,1
PASKEVILLE,8240,Jul-19,1
BOORS PLAIN,8250,Jul-19,1
JERUSALEM,8258,Jul-19,1
WEETULTA,8268,Jul-19,1
SECRET ROCKS,8277,Jul-19,1
MERTY MERTY,8306,Jul-19,1
PINNAROO,8314,Jul-19,2
MILLSWOOD,834,Jul-19,5
ADELAIDE AIRPORT,8344,Jul-19,10
WINKIE,8360,Jul-19,5
GLOSSOP,8367,Jul-19,2
BARMERA,8379,Jul-19,10
HAMLEY BRIDGE,8403,Jul-19,2
LINWOOD,8409,Jul-19,2
BOSWORTH,8445,Jul-19,1
PIMBA,8450,Jul-19,2
WAYVILLE,846,Jul-19,19
ANDAMOOKA,8463,Jul-19,1
COOBER PEDY,8477,Jul-19,24
INGOMAR,8485,Jul-19,1
WILLIAM CREEK,8492,Jul-19,1
MARLA,8499,Jul-19,2
OLYMPIC DAM,8505,Jul-19,1
ROXBY DOWNS,8520,Jul-19,19
MARREE,8559,Jul-19,1
ASHFORD,858,Jul-19,7
BLACK FOREST,870,Jul-19,17
EVERARD PARK,882,Jul-19,6
FORESTVILLE,894,Jul-19,5
KESWICK,906,Jul-19,10
LOCKLEYS,918,Jul-19,11
DEVON PARK,93,Jul-19,20
UNDERDALE,930,Jul-19,12
COWANDILLA,942,Jul-19,5
HILTON,954,Jul-19,23
MARLESTON,966,Jul-19,7
RICHMOND,978,Jul-19,14
WEST RICHMOND,990,Jul-19,3
NORTH HAVEN,1001,Aug-19,25
OUTER HARBOR,1009,Aug-19,1
EXETER,1014,Aug-19,9
SEMAPHORE,1026,Aug-19,16
SEMAPHORE PARK,1038,Aug-19,31
DUDLEY PARK,104,Aug-19,7
SEMAPHORE SOUTH,1050,Aug-19,5
WEST LAKES SHORE,1062,Aug-19,4
WEST LAKES,1074,Aug-19,67
GRANGE,1086,Aug-19,22
HENLEY BEACH,1098,Aug-19,19
HENLEY BEACH SOUTH,1110,Aug-19,4
TENNYSON,1122,Aug-19,5
FINDON,1132,Aug-19,48
SEATON,1147,Aug-19,61
RENOWN PARK,115,Aug-19,8
FULHAM,1159,Aug-19,11
FULHAM GARDENS,1171,Aug-19,17
WEST BEACH,1184,Aug-19,18
FLINDERS PARK,1196,Aug-19,22
BROMPTON,1208,Aug-19,41
HINDMARSH,1220,Aug-19,14
NORTH PLYMPTON,1232,Aug-19,10
CAMDEN PARK,1244,Aug-19,14
PLYMPTON,1256,Aug-19,55
PLYMPTON PARK,1268,Aug-19,12
RIDLEYTON,127,Aug-19,16
SOUTH PLYMPTON,1280,Aug-19,14
CLARENCE GARDENS,1292,Aug-19,7
MALVERN,1304,Aug-19,6
UNLEY,1316,Aug-19,22
UNLEY PARK,1327,Aug-19,1
CLAPHAM,1338,Aug-19,4
HAWTHORN,1349,Aug-19,7
KINGSWOOD,1362,Aug-19,13
GLENELG SOUTH,1374,Aug-19,3
OAKLANDS PARK,1385,Aug-19,148
WEST CROYDON,139,Aug-19,13
COLONEL LIGHT GARDENS,1397,Aug-19,10
CUMBERLAND PARK,1409,Aug-19,10
DAW PARK,1421,Aug-19,7
PANORAMA,1433,Aug-19,5
WESTBOURNE PARK,1445,Aug-19,8
WARRADALE,1457,Aug-19,22
DARLINGTON,1469,Aug-19,16
SEACOMBE GARDENS,1481,Aug-19,27
SEACOMBE HEIGHTS,1493,Aug-19,12
STURT,1505,Aug-19,5
ALLENBY GARDENS,151,Aug-19,6
BRIGHTON,1517,Aug-19,28
DOVER GARDENS,1529,Aug-19,31
HOVE,1541,Aug-19,4
NORTH BRIGHTON,1553,Aug-19,8
KESWICK TERMINAL,1564,Aug-19,2
GLANDORE,1576,Aug-19,13
KURRALTA PARK,1588,Aug-19,29
NETLEY,1600,Aug-19,2
MITCHELL PARK,1611,Aug-19,26
MORPHETTVILLE,1624,Aug-19,18
BEVERLEY,163,Aug-19,7
PARK HOLME,1636,Aug-19,18
GLENGOWRIE,1648,Aug-19,21
SOMERTON PARK,1660,Aug-19,16
GLENELG,1672,Aug-19,37
GLENELG EAST,1684,Aug-19,15
GLENELG NORTH,1696,Aug-19,24
